"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2026","4,678.60","4,538.90","4,717.60","4,510.00","176.39K","2.66%"
"03/30/2026","4,557.50","4,520.00","4,611.40","4,444.70","157.75K","1.08%"
"03/27/2026","4,508.60","4,398.10","4,568.30","4,389.40","5.22K","2.65%"
"03/26/2026","4,392.30","4,539.80","4,552.20","4,366.70","4.51K","-3.86%"
"03/25/2026","4,568.60","4,487.90","4,616.30","4,475.00","3.93K","3.41%"
"03/24/2026","4,418.00","4,434.00","4,500.00","4,330.00","2.85K","-0.13%"
"03/23/2026","4,423.60","4,475.00","4,542.60","4,124.40","4.92K","-4.04%"
"03/20/2026","4,609.60","4,689.40","4,773.30","4,512.10","48.02K","-0.67%"
"03/19/2026","4,640.50","4,860.50","4,903.30","4,539.50","66.19K","-5.93%"
"03/18/2026","4,932.90","5,046.60","5,058.40","4,846.60","47.59K","-2.23%"
"03/17/2026","5,045.60","5,049.10","5,085.00","5,014.40","20.54K","0.12%"
"03/16/2026","5,039.40","5,049.30","5,082.00","5,009.50","32.01K","-0.44%"
"03/13/2026","5,061.70","5,084.00","5,132.40","5,014.10","160.33K","-1.25%"
"03/12/2026","5,125.80","5,185.40","5,197.80","5,058.20","153.53K","-1.03%"
"03/11/2026","5,179.10","5,194.00","5,230.90","5,155.90","140.34K","-1.20%"
"03/10/2026","5,242.10","5,152.40","5,248.70","5,127.10","179.58K","2.71%"
"03/09/2026","5,103.70","5,186.70","5,210.40","5,021.20","181.75K","-1.07%"
"03/06/2026","5,158.70","5,099.70","5,185.00","5,071.00","160.27K","1.58%"
"03/05/2026","5,078.70","5,155.70","5,204.30","5,058.90","151.85K","-1.09%"
"03/04/2026","5,134.70","5,110.00","5,218.30","5,092.80","146.89K","0.21%"
"03/03/2026","5,123.70","5,335.70","5,394.20","5,005.00","273.22K","-3.54%"
"03/02/2026","5,311.60","5,360.00","5,434.10","5,272.90","227.84K","1.21%"
"02/27/2026","5,247.90","5,201.90","5,299.00","5,182.90","151.66K","1.03%"
"02/26/2026","5,194.20","5,175.30","5,221.90","5,144.80","131.63K","-0.26%"
"02/25/2026","5,208.00","5,135.60","5,214.00","5,129.50","1.77K","0.97%"
"02/24/2026","5,157.80","5,243.40","5,250.00","5,091.80","1.51K","-0.95%"
"02/23/2026","5,207.50","5,114.00","5,236.70","5,103.20","1.62K","2.49%"
"02/20/2026","5,080.90","5,015.00","5,131.00","4,999.30","136.74K","1.67%"
"02/19/2026","4,997.40","4,993.70","5,042.80","4,971.50","87.03K","-0.24%"
"02/18/2026","5,009.50","4,898.50","5,031.90","4,868.50","98.20K","2.11%"
"02/17/2026","4,905.90","5,050.00","5,074.40","4,854.20","166.71K","-2.08%"
"02/16/2026","5,010.11","5,038.09","5,050.60","4,985.44","42.20K","-0.57%"
"02/15/2026","5,039.06","5,053.00","5,070.00","5,026.44","","-0.14%"
"02/13/2026","5,046.30","4,950.00","5,069.10","4,907.10","123.02K","1.98%"
"02/12/2026","4,948.40","5,107.30","5,122.80","4,900.00","161.62K","-2.94%"
"02/11/2026","5,098.50","5,048.00","5,144.50","5,036.30","129.97K","1.34%"
"02/10/2026","5,031.00","5,084.30","5,102.70","5,011.00","105.66K","-0.95%"
"02/09/2026","5,079.40","5,003.60","5,111.10","4,988.60","124.15K","2.00%"
"02/06/2026","4,979.80","4,800.00","4,995.60","4,670.00","177.81K","1.85%"
"02/05/2026","4,889.50","4,986.60","5,045.00","4,779.60","234.59K","-1.24%"
"02/04/2026","4,950.80","4,966.10","5,113.90","4,867.70","245.96K","0.32%"
"02/03/2026","4,935.00","4,691.00","5,018.10","4,690.20","260.11K","6.07%"
"02/02/2026","4,652.60","4,816.00","4,905.60","4,423.20","385.98K","-1.95%"
"01/30/2026","4,745.10","5,410.00","5,480.20","4,700.40","508.00K","-11.39%"
"01/29/2026","5,354.80","5,449.90","5,626.80","5,126.00","570.06K","0.64%"
"01/28/2026","5,321.00","5,198.00","5,433.50","5,175.00","10.33K","4.30%"
"01/27/2026","5,101.40","5,038.30","5,209.50","5,031.00","6.64K","-0.02%"
"01/26/2026","5,102.40","5,028.40","5,124.30","5,005.00","7.98K","1.70%"
"01/23/2026","5,017.00","4,977.80","5,028.30","4,937.70","83.40K","1.37%"
"01/22/2026","4,949.40","4,871.00","4,980.10","4,807.90","68.88K","1.57%"
"01/21/2026","4,873.10","4,804.90","4,925.10","4,793.30","77.33K","1.51%"
"01/20/2026","4,800.80","4,661.00","4,806.00","4,659.50","56.62K","2.78%"
"01/19/2026","4,671.15","4,680.71","4,688.50","4,660.29","145.60K","-0.20%"
"01/18/2026","4,680.64","4,635.80","4,697.71","4,624.80","","1.85%"
"01/16/2026","4,595.40","4,621.60","4,625.50","4,539.10","246.16K","-0.61%"
"01/15/2026","4,623.70","4,635.70","4,637.20","4,584.00","226.48K","-0.26%"
"01/14/2026","4,635.70","4,594.30","4,650.50","4,594.30","306.30K","0.80%"
"01/13/2026","4,599.10","4,610.00","4,644.00","4,576.70","267.45K","-0.34%"
"01/12/2026","4,614.70","4,529.10","4,640.50","4,520.80","307.99K","2.53%"
"01/09/2026","4,500.90","4,489.30","4,527.00","4,461.80","217.95K","0.90%"
"01/08/2026","4,460.70","4,467.10","4,489.30","4,415.00","208.96K","-0.04%"
"01/07/2026","4,462.50","4,505.40","4,512.40","4,432.90","202.78K","-0.75%"
"01/06/2026","4,496.10","4,459.80","4,508.30","4,437.90","176.58K","1.00%"
"01/05/2026","4,451.50","4,368.30","4,467.60","4,354.60","211.71K","2.82%"
"01/02/2026","4,329.60","4,340.00","4,414.80","4,319.70","154.81K","-0.73%"
"01/01/2026","4,361.55","4,332.10","4,364.45","4,332.10","149.56K","-0.56%"
